frame,root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,head_pitch_joint,head_yaw_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,right_elbow_joint,right_shoulder_yaw_joint,right_shoulder_roll_joint,right_shoulder_pitch_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,left_elbow_joint,left_shoulder_yaw_joint,left_shoulder_roll_joint,left_shoulder_pitch_joint,waist_pitch_joint,waist_roll_joint,waist_yaw_joint,right_ankle_roll_joint,right_ankle_pitch_joint,right_knee_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,left_ankle_roll_joint,left_ankle_pitch_joint,left_knee_joint,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint
1,0.005996,-0.004885,0.925077,0.001997,0.016956,0.016716,0.999714,-0.213868,0.097464,0,0,0,-0.759903,0.001136,-0.145534,0.193629,0,0,0,-0.004749,-0.342094,0.142321,0.022699,0.118512,0.017393,-0.108757,-0.031415,-0.046368,0.40287,0.029984,0.028723,-0.160238,0.017424,-0.066837,0.952276,-0.166917,-0.05673,-0.343179
2,0.026829,-0.003793,0.92901,0.0029,0.019438,0.014602,0.9997,-0.211594,0.081384,0,0,0,-0.800853,0.015763,-0.149979,0.17719,0,0,0,-0.004553,-0.349522,0.143289,0.066038,0.110467,0.01174,-0.090424,-0.029702,-0.023769,0.435666,0.03683,0.026523,-0.162564,0.018767,-0.035146,0.88229,-0.181253,-0.065962,-0.393989
3,0.047676,-0.002701,0.931251,0.003823,0.022177,0.012138,0.999673,-0.209611,0.065401,0,0,0,-0.846674,0.03014,-0.156133,0.161654,0,0,0,-0.004391,-0.357404,0.143108,0.109427,0.102388,0.00591,-0.071473,-0.027895,-0.006226,0.478031,0.045582,0.024449,-0.170473,0.017401,-0.003305,0.804825,-0.194798,-0.072269,-0.441204
4,0.068439,-0.001387,0.931451,0.00328,0.025033,0.009516,0.999636,-0.207916,0.049105,0,0,0,-0.90795,0.044507,-0.164706,0.147749,0,0,0,-0.004293,-0.366112,0.139485,0.152116,0.094684,0.003018,-0.052063,-0.02604,0.007584,0.52674,0.054928,0.025477,-0.181802,0.01413,0.025764,0.727305,-0.208349,-0.073953,-0.487817
5,0.089315,0.000105,0.929671,0.000943,0.027775,0.006776,0.999591,-0.206416,0.032204,0,0,0,-0.973883,0.0561,-0.177734,0.13468,0,0,0,-0.004265,-0.374465,0.132421,0.193386,0.087616,0.004262,-0.031805,-0.024464,0.019013,0.578214,0.064947,0.030681,-0.193746,0.009646,0.048957,0.657797,-0.224671,-0.072374,-0.536186
6,0.110636,0.001605,0.925888,-0.003125,0.029972,0.00368,0.999539,-0.204992,0.014818,0,0,0,-1.036076,0.062473,-0.194251,0.121018,0,0,0,-0.004294,-0.381406,0.123195,0.23306,0.081718,0.009521,-0.010291,-0.023202,0.02798,0.631233,0.073993,0.039787,-0.204176,0.004398,0.034814,0.659448,-0.25384,-0.074968,-0.615948
7,0.132761,0.003316,0.920262,-0.012646,0.031715,-0.003187,0.999412,-0.20328,-0.004556,0,0,0,-1.084321,0.058886,-0.215534,0.103795,0,0,0,-0.004457,-0.391285,0.108094,0.272123,0.076056,0.021749,0.018638,-0.022982,0.039795,0.677352,0.086795,0.061951,-0.20896,-0.003189,-0.006752,0.708786,-0.291677,-0.069313,-0.713748
8,0.155719,0.004736,0.913333,-0.020286,0.032791,-0.009922,0.999207,-0.200519,-0.020401,0,0,0,-1.127647,0.053923,-0.233031,0.083756,0,0,0,-0.004609,-0.400247,0.095692,0.311002,0.070337,0.031598,0.044744,-0.022592,0.047264,0.725923,0.098818,0.080153,-0.211902,-0.011751,-0.051669,0.773369,-0.33143,-0.070695,-0.813259
9,0.179514,0.006098,0.905291,-0.025874,0.033473,-0.015891,0.998978,-0.196525,-0.032378,0,0,0,-1.166146,0.050707,-0.246913,0.060918,0,0,0,-0.09599,-0.410388,0.099934,0.380797,0.064127,0.03865,0.066376,-0.021642,0.050758,0.775075,0.108482,0.093152,-0.21256,-0.019766,-0.083275,0.818232,-0.364027,-0.074,-0.89344
10,0.203766,0.007623,0.89683,-0.02936,0.034208,-0.020816,0.998766,-0.192448,-0.041581,0,0,0,-1.200338,0.050237,-0.258223,0.037915,0,0,0,-0.19088,-0.421328,0.108368,0.447433,0.057807,0.043362,0.084248,-0.020269,0.052695,0.820722,0.117026,0.100948,-0.210474,-0.024622,-0.105569,0.843558,-0.385425,-0.078007,-0.949055
